djcelery_periodictask,queue,character varying,FALSE,TRUE,,,
djcelery_periodictask,exchange,character varying,FALSE,TRUE,,,
djcelery_periodictask,routing_key,character varying,FALSE,TRUE,,,
djcelery_periodictask,expires,timestamp with time zone,FALSE,TRUE,,,
djcelery_periodictask,enabled,boolean,FALSE,TRUE,,,
djcelery_periodictask,last_run_at,timestamp with time zone,FALSE,TRUE,,,
djcelery_periodictask,total_run_count,integer,FALSE,TRUE,,,
djcelery_periodictask,date_changed,timestamp with time zone,FALSE,TRUE,,,
djcelery_periodictask,description,text,FALSE,TRUE,,,
djcelery_periodictasks,ident,smallint,FALSE,TRUE,,,
djcelery_periodictasks,last_update,timestamp with time zone,FALSE,TRUE,,,
djcelery_taskstate,id,integer,FALSE,TRUE,,,
djcelery_taskstate,state,character varying,FALSE,TRUE,,,
djcelery_taskstate,task_id,character varying,FALSE,TRUE,,,
djcelery_taskstate,name,character varying,FALSE,TRUE,,,
djcelery_taskstate,tstamp,timestamp with time zone,FALSE,TRUE,,,
djcelery_taskstate,args,text,FALSE,TRUE,,,
djcelery_taskstate,kwargs,text,FALSE,TRUE,,,
djcelery_taskstate,eta,timestamp with time zone,FALSE,TRUE,,,
djcelery_taskstate,expires,timestamp with time zone,FALSE,TRUE,,,
djcelery_taskstate,result,text,FALSE,TRUE,,,
djcelery_taskstate,traceback,text,FALSE,TRUE,,,
djcelery_taskstate,runtime,double precision,FALSE,TRUE,,,
djcelery_taskstate,retries,integer,FALSE,TRUE,,,
djcelery_taskstate,worker_id,integer,FALSE,TRUE,,,
djcelery_taskstate,hidden,boolean,FALSE,TRUE,,,
djcelery_workerstate,id,integer,FALSE,TRUE,,,
djcelery_workerstate,hostname,character varying,FALSE,TRUE,,,
djcelery_workerstate,last_heartbeat,timestamp with time zone,FALSE,TRUE,,,
,,,FALSE,FALSE,,,
images_image,revisionplugin_ptr_id,integer,FALSE,TRUE,apparently only used in wiki,,
images_image,image,character varying,FALSE,TRUE,,,
images_image,caption,character varying,FALSE,TRUE,ANON ignored,,
,,,FALSE,FALSE,,,
incident_attack,created,timestamp with time zone,TRUE,FALSE,TIMESTAMP,,
incident_attack,modified,timestamp with time zone,TRUE,FALSE,,,
incident_attack,rt_id,integer,TRUE,FALSE,,,
incident_attack,subject,character varying,TRUE,FALSE,TEXT,,
incident_attack,target_ip,inet,TRUE,FALSE,ANON-IP,,
incident_attack,incident_id,integer,TRUE,FALSE,incident_incident.rt_id,,
incident_attack,organization_id,integer,TRUE,FALSE,organization_id,,
incident_attack,creator_id,integer,TRUE,FALSE,auth_user,,
incident_attack,id,integer,TRUE,FALSE,,,
,,,FALSE,FALSE,,,
incident_category,id,integer,TRUE,FALSE,,,
incident_category,created,timestamp with time zone,TRUE,FALSE,,,
incident_category,modified,timestamp with time zone,TRUE,FALSE,,,
incident_category,name,character varying,TRUE,FALSE,,,
